id,transaction_date,quantity,project_id,project_name,project_short_code,supplier,pathway,pathway_full,retired_by,beneficiary,purposes,notes
ret_1KCQEGRVG1S04NBQ,2025-12-18T00:42:20.467475+00:00,199.0,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,Watershed,Block,CORPORATE_TARGETS,"Retirement of environmental credits on behalf of Block, Inc."
ret_1KCQDZ73G1S09PRR,2025-12-18T00:32:45.251156+00:00,450.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Watershed,Block,CORPORATE_TARGETS,"Retirement of environmental credits on behalf of Block, Inc."
ret_1KCHY01Z81S014J6,2025-12-15T21:17:23.424821+00:00,5.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Stripe,Raritan Valley Community College,OTHER,https://stripe.com/climate/orders
ret_1KCHJPHFR1S0D1FN,2025-12-15T17:59:57.232972+00:00,0.002,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Stripe,Shams Hanna,OTHER,https://stripe.com/climate/orders
ret_1KCHJJB8S1S01QW8,2025-12-15T17:57:39.810337+00:00,24.421,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Stripe,Quang Nguyen,OTHER,https://stripe.com/climate/orders
ret_1KC7MDWB61S0CCXM,2025-12-11T21:17:46.292371+00:00,0.481,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Stripe,Own Your Beliefs Inc.,OTHER,https://stripe.com/climate/orders
ret_1KC7MB9TS1S0HEAN,2025-12-11T21:16:21.776882+00:00,0.871,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Stripe,DeliverOne,OTHER,https://stripe.com/climate/orders
ret_1KC7M5QAA1S0PFQP,2025-12-11T21:13:18.980761+00:00,1.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Stripe,CaptureNow,OTHER,https://stripe.com/climate/orders
ret_1KC7M18271S0M7DD,2025-12-11T21:10:52.304730+00:00,1.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Stripe,Stanford University,OTHER,https://stripe.com/climate/orders
ret_1KC7KPZS61S0Q0G5,2025-12-11T21:05:16.187365+00:00,4.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Stripe,Tomorro,OTHER,https://stripe.com/climate/orders
ret_1KBR0BRAH1S0MB9D,2025-12-05T19:38:28.594560+00:00,2.0,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,Harvard Management Company,Harvard Management Company,CORPORATE_TARGETS,
ret_1KBG9X4HR1S0XPCA,2025-12-02T19:51:19.901920+00:00,1.0,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,Patch,Patch,CORPORATE_TARGETS,Retired on behalf of Patch’s customers and/or their end users
ret_1KBG9EZ9T1S0107H,2025-12-02T19:43:35.824246+00:00,12.0,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,Patch,Typeform S.L.,CORPORATE_TARGETS,Retired on behalf of Typeform S.L.
ret_1KBDMBWXP1S0ZH2R,2025-12-01T18:56:26.079043+00:00,0.541,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,Workday,Workday,CORPORATE_TARGETS,
ret_1KBDM8EV71S04JFS,2025-12-01T18:54:33.377660+00:00,88.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Workday,Workday,CORPORATE_TARGETS,
ret_1KBDDYAFF1S0EAS1,2025-12-01T17:04:09.746769+00:00,49.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Autodesk,Autodesk,CORPORATE_TARGETS,
ret_1KBDDTZJ01S0TNXC,2025-12-01T17:02:20.255647+00:00,0.18,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,Autodesk,Autodesk,CORPORATE_TARGETS,
ret_1KBB20ZMH1S02H1Z,2025-11-30T18:57:25.247339+00:00,268.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,JPMorganChase,JPMorganChase,CORPORATE_TARGETS,
